Plot_code	Code	Year	Treat_W	Treat_N	Area	bare ground	litter	ACMI	AMME	ANAR	ARCA	AVBA	AVFA	AVspp	BLCR	BRADIS	BRDI	BRHO	BRMA	BRNI	CAAF	CABI	CABU	CACI	CAMA	CAMI	CASP	CEME	CHCA	CHPO	COBO	COCO	CRBA	CRCO	CRIN	DICA	ENCA	ERBO	ERCI	ERFA	ERFO	ERMO	ERPA	ERspp	EUCH	GAAN	GAAP	GIAN	GNACAL	HASQ	HEFA	HIIN	HOspp	HYGL	LAAU	LACA	LECO	LEFI	LOMU	LOSC	LOspp	LUBI	LUHI	LUTR	LUspp	MAFA	MALA	MARMAC	MASA	MAVU	MEIM	MEIN	MEPO	MICA	MILA	NALE	NAPU	PHCA	PHDI	POAN	RHIL	RHIN	RHOV	RIAU	RIMA	SAAP	SAME	SAMMEX	SCCA	SEVU	SIGA	SONOLE	SOXA	STspp	TRspp	TRWO	VIVI	VUMI	VUMY	Unk01	Unk02	unkGR1001	unkGR1002	Total
S27LXN	S27L	2011	X	N	PP		25				18.75						3.2	6.25	12.5																	<0.5			<0.5																												11.05										1.6		1.6								37.5												3.2					120.65
S27RXX	S27R	2011	X	X	PP		10.5				10.9						<0.5	1.6	18.75																																									1.6							28.05										6.25										24.85												1.6					104.1
S28LRN	S28L	2011	R	N	PP	4.8	4.8					1.6					<0.5	<0.5	70.2																	<0.5				1.6					<0.5	1.6				3.2			1.6							3.2																	1.6										6.25						1.6											102.05
S28RRX	S28R	2011	R	X	PP						6.25	<0.5						<0.5	70.2																				<0.5																<0.5		6.25		1.6							17.3											4.8										7.85												<0.5					114.25
S29LXN	S29L	2011	X	N	PP	1.6					3.2						6.25	1.6	45.2																																		1.6				9.4		<0.5	1.6						9.4											6.25										6.25						12.5					<0.5	<0.5					104.85
S29RXX	S29R	2011	X	X	PP						1.6	1.6					4.8	1.6	25																																						25		<0.5							6.25	3.2										1.6										25						3.2						1.6					100.45
S30LAX	S30L	2011	A	X	PP					<0.5								<0.5	1.6																	<0.5																<0.5					4.8			75							6.25										1.6										37.5						12.5						<0.5					139.25
S30RAN	S30R	2011	A	N	PP		6.25			1.6							1.6	<0.5	15.7																	<0.5										4.8							<0.5				15.7		<0.5	9.5						6.25	15.7										1.6										25												1.6					105.3
S31LAN	S31L	2011	A	N	PP		9.5			<0.5	18.75						1.6	<0.5	12.5						1.6						<0.5								<0.5						<0.5															31.25							9.5	3.2									1.6										12.5						<0.5						<0.5					102
S31RAX	S31R	2011	A	X	PP						4.8	<0.5						<0.5	6.25																	<0.5										1.6						1.6					6.25		<0.5	17.3							20										1.6										37.5						3.2						<0.5					100.1
S32LXN	S32L	2011	X	N	PP						11.05	<0.5					1.6	<0.5	31.25																	<0.5		1.6	1.6													1.6					50		1.6																												4.8						1.6						1.6					108.3
S32RXX	S32R	2011	X	X	PP					<0.5	4.8						6.25	1.6	50																	1.6			<0.5														1.6				12.5		1.6	4.8							3.2										4.8										12.5						1.6						1.6					108.45
S33LRX	S33L	2011	R	X	PP	12.5	6.25			<0.5	7.85								50																	<0.5			1.6													<0.5					12.5		<0.5	4.8																	3.2										18.75												<0.5					117.45
S33RRN	S33R	2011	R	N	PP	43.75				<0.5									18.75																																	<0.5			<0.5		25			4.8							6.25										4.8										4.8						<0.5						<0.5					108.15
S34LXN	S34L	2011	X	N	PP						6.25						1.6	1.6	12.5																				<0.5													1.6	<0.5				43.75		<0.5	18.75							6.25	1.6									1.6										9.5						3.2											108.2
S34RXX	S34R	2011	X	X	PP												1.6		6.25																				<0.5																		4.8		1.6	68.75							6.25	3.2									1.6										4.8						12.5											111.35
S35LRX	S35L	2011	R	X	PP		25			<0.5	4.8						1.6	<0.5	32.5						<0.5											<0.5			<0.5						<0.5	6.25						1.6					6.25		<0.5								3.2	4.8								3.2	1.6										7.85											1.6	1.6					101.85
S35RRN	S35R	2011	R	N	PP	10					3.2	<0.5					1.6	<0.5	68.25						<0.5																																6.25		<0.5								4.8	4.8																			1.6						1.6											102.1
S36LAX	S36L	2011	A	X	PP	3.2	6.25											7.85	11.35																																						1.6		1.6	31.25				<0.5			25										1.6										11.35						4.8					4.8	7.85					118.5
S36RAN	S36R	2011	A	N	PP						3.2						12.5	<0.5	4.8																																						18.75		<0.5	1.6						3.2	4.8																				18.75						31.25					1.6	1.6					102.05
S37LRN	S37L	2011	R	N	PP						3.2						12.6	<0.5	18						3.2														<0.5						<0.5												20		<0.5	1.6				<0.5		20	20																				1.6						1.6											101.8
S37RRX	S37R	2011	R	X	PP						3.2	1					1	<0.5	25																	<0.5		1.6	1.6							3.2				12.5							18		<0.5	3.2				1			50										1										5						1.6											128.9
S38LAX	S38L	2011	A	X	PP						1								1						3.2																																6.25			25						3.2	62.5																				18.75	6.25											1					128.15
S38RAN	S38R	2011	A	N	PP													<0.5	25																	<0.5		1	1																		12.5		<0.5	60							12.5	1																			25						<0.5						<0.5					138
S39LXN	S39L	2011	X	N	PP						<0.5						1	<0.5	6.25						1.6				1																3.2	1.6											28.5		<0.5	12.5						3.2	37.5	<0.5								<0.5											6.25						1.6						1					105.2
S39RXX	S39R	2011	X	X	PP						1						6.25	<0.5	3.2						1											<0.5									1												6.25		<0.5	75							3.2										<0.5										18.75						1						<0.5					116.65
S40LAX	S40L	2011	A	X	PP					<0.5	6.25						1.6	<0.5	1.6																<0.5	<0.5			1.6	1.6						3.2											20		<0.5	50													<0.5				<0.5										25												<0.5					110.85
S40RAN	S40R	2011	A	N	PP						6.25	25					<0.5	<0.5	18.75										<0.5						<0.5																	1.6					6.25		<0.5							<0.5	45																				7.85										6.25		<0.5					116.95
S41LAN	S41L	2011	A	N	PP						1.6						1.6	<0.5	3.2						<0.5														<0.5																				1.6	62.5						1.6	12.5										<0.5					3.2					12.5						<0.5											100.3
S41RAX	S41R	2011	A	X	PP												<0.5	<0.5	1.6						1.6																																3.2			75							37.5																				6.25												<0.5					125.15
S42LXX	S42L	2011	X	X	PP					<0.5		4.8					25	<0.5	<0.5																3.2	<0.5			1.6							7.85											59		<0.5	4.8				<0.5		1.6		1.6														1.6					7.85												<0.5					118.9
S42RXN	S42R	2011	X	N	PP	3.2	4.8			<0.5	8.1						3.2	3.2	8.1																				<0.5																		40.2		<0.5	21.7		<0.5		<0.5																							8.85						<0.5											101.35
S43LRX	S43L	2011	R	X	PP						9.6							<0.5	21.25										1.6							<0.5			8.2						1.6	8.2			8.2	29.6							9.6		<0.5	8.2				8.2				3.6																			4.8																	122.65
S43RRN	S43R	2011	R	N	PP					<0.5	7							<0.5	60										<0.5							<0.5			<0.5							2.5						1.6					12.5		<0.5									10																			10		<0.5															103.6
S44LAN	S44L	2011	A	N	PP						20	5					1	<0.5	<0.5						1											<0.5			<0.5																		20		1	50																											20												<0.5					118
S44RAX	S44R	2011	A	X	PP	6.25					15	6.25					6.25	<0.5	6.25																	<0.5										2.5				20							20		1.5	12.5				1.5				2.5				1														1.5		7											<0.5					110
S45LRX	S45L	2011	R	X	PP												2.6	1	60						2.6											1			1							6.25						2.6					12.5		1	2.6				2.6			1										<0.5										9					1							<0.5					106.75
S45RRN	S45R	2011	R	N	PP						12.5							1	50						12.5											<0.5		2.5	6.25																				<0.5	1				<0.5												2	15										6.25						1						<0.5					110
S46LXN	S46L	2011	X	N	PP	3.2		10.6			9.55						31.4	<0.5	19.8																				<0.5							9.55													3.6	3.2																	1.6										17.3												<0.5					109.8
S46RXX	S46R	2011	X	X	PP						5	1						<0.5	12.5																																								12.5	33							4										33									4	9					1							<0.5					115
S47LRN	S47L	2011	R	N	PP						6.6						<0.5	<0.5	52.6																	<0.5										10.6				3.2							13.2			6.6						6.6																					10.6																	110
S47RRX	S47R	2011	R	X	PP						25	<0.5					<0.5	<0.5	10			<0.5										<0.5			<0.5	<0.5			<0.5																		40		1.6	5							5																				20												<0.5	<0.5				106.6
S48LXX	S48L	2011	X	X	PP							<0.5					<0.5	<0.5	<0.5																<0.5	<0.5			<0.5																				1.6	70						1.6	2.5										<0.5										30												8					113.7
S48RXN	S48R	2011	X	N	PP						5	<0.5					40	<0.5	10						<0.5										1.6	<0.5										<0.5											5			20							40																				30												<0.5					151.6
S25LRX	S25L	2011	R	X	SP																																																																																																			0
S25RRN	S25R	2011	R	N	SP																																																																																																			0
S26LAX	S26L	2011	A	X	SP																																																																																																			0
S26RAN	S26R	2011	A	N	SP																																																																																																			0
S27LXN	S27L	2011	X	N	SP																																																																																																			0
S27RXX	S27R	2011	X	X	SP																																																																																																			0
S28LRN	S28L	2011	R	N	SP																																																																																																			0
S28RRX	S28R	2011	R	X	SP																																																																																																			0
S29LXN	S29L	2011	X	N	SP																																																																																																			0
S29RXX	S29R	2011	X	X	SP																																																																																																			0
S30LAX	S30L	2011	A	X	SP																																																																																																			0
S30RAN	S30R	2011	A	N	SP																																																																																																			0
S31LAN	S31L	2011	A	N	SP																																																																																																			0
S31RAX	S31R	2011	A	X	SP																																																																																																			0
S32LXN	S32L	2011	X	N	SP																																																																																																			0
S32RXX	S32R	2011	X	X	SP																																																																																																			0
S33LRX	S33L	2011	R	X	SP																																																																																																			0
S33RRN	S33R	2011	R	N	SP																																																																																																			0
S34LXN	S34L	2011	X	N	SP																																																																																																			0
S34RXX	S34R	2011	X	X	SP																																																																																																			0
S35LRX	S35L	2011	R	X	SP																																																																																																			0
S35RRN	S35R	2011	R	N	SP																																																																																																			0
S36LAX	S36L	2011	A	X	SP																																																																																																			0
S36RAN	S36R	2011	A	N	SP																																																																																																			0
S37LRN	S37L	2011	R	N	SP																																																																																																			0
S37RRX	S37R	2011	R	X	SP																																																																																																			0
S38LAX	S38L	2011	A	X	SP																																																																																																			0
S38RAN	S38R	2011	A	N	SP																																																																																																			0
S39LXN	S39L	2011	X	N	SP																																																																																																			0
S39RXX	S39R	2011	X	X	SP																																																																																																			0
S40LAX	S40L	2011	A	X	SP																																																																																																			0
S40RAN	S40R	2011	A	N	SP																																																																																																			0
S41LAN	S41L	2011	A	N	SP																																																																																																			0
S41RAX	S41R	2011	A	X	SP																																																																																																			0
S42LXX	S42L	2011	X	X	SP																																																																																																			0
S42RXN	S42R	2011	X	N	SP																																																																																																			0
S43LRX	S43L	2011	R	X	SP																																																																																																			0
S43RRN	S43R	2011	R	N	SP																																																																																																			0
S44LAN	S44L	2011	A	N	SP																																																																																																			0
S44RAX	S44R	2011	A	X	SP																																																																																																			0
S45LRX	S45L	2011	R	X	SP																																																																																																			0
S45RRN	S45R	2011	R	N	SP																																																																																																			0
S46LXN	S46L	2011	X	N	SP																																																																																																			0
S46RXX	S46R	2011	X	X	SP																																																																																																			0
S47LRN	S47L	2011	R	N	SP																																																																																																			0
S47RRX	S47R	2011	R	X	SP																																																																																																			0
S48LXX	S48L	2011	X	X	SP																																																																																																			0
S48RXN	S48R	2011	X	N	SP																																																																																																			0
S25LRX	S25L	2012	R	X	PP	12.5	37.5				12.5																																														18																														37.5																	118
S25RRN	S25R	2012	R	N	PP	25	37.5				12.5								6.25																																						6.25										3.2																				37.5																	128.2
S26LAX	S26L	2012	A	X	PP	6.25	6.25				12.5								1.6																																						6.25																			1.6						1.6					75																	111.05
S26RAN	S26R	2012	A	N	PP	9	12.5				18								<1																																	<1					12.5										37.5																				25						6.25											120.75
S27LXN	S27L	2012	X	N	PP	6.25	25				25								<1																																						1.6										18									1.6											25																	102.45
S27RXX	S27R	2012	X	X	PP	12.5	12.5				12.5							<1	1.6																														6.25																		37.5																				37.5																	120.35
S28LRN	S28L	2012	R	N	PP	0	55												25																																						15			15																											7																	117
S28RRX	S28R	2012	R	X	PP	0	70																																																		8									25																					8																	111
S29LXN	S29L	2012	X	N	PP	7	20				3								20																																						5			8						20	5																				5						10											103
S29RXX	S29R	2012	X	X	PP	0	0												20																																	1					35									15																					30						2											103
S30LAX	S30L	2012	A	X	PP	0	0																																																					75							25																				6.25						12.5											118.75
S30RAN	S30R	2012	A	N	PP	9	12.5												<1																					3.2																	3.2			18						12.5	9																				25																	92.4
S31LAN	S31L	2012	A	N	PP	0	25				18																																														1.6			25							18																				25						1.6											114.2
S31RAX	S31R	2012	A	X	PP	6.25	9																																																		6.25			50							9																				37.5						1.6											119.6
S32LXN	S32L	2012	X	N	PP	18	18				25																																									1.6					25			6.25																											3.2					<1	6.25											103.3
S32RXX	S32R	2012	X	X	PP	6.25	25				12.5								1.6																				<1						1.6							3.2					6.25			37.5							9																				12.5						1.6											117
S33LRX	S33L	2012	R	X	PP	25	37.5				12.5								6.25																				3.2						1.6							1.6					12.5			6.25																											12.5						3.2											122.1
S33RRN	S33R	2012	R	N	PP	25	18				6.25								1.6																										1.6							3.2					18			6.25							6.25																				6.25						9											101.4
S34LXN	S34L	2012	X	N	PP	6.25	9				12.5								6.25																																						37.5			25							6.25																				18																	120.75
S34RXX	S34R	2012	X	X	PP	0	0				6.25																																																	75							12.5																				9						18											120.75
S35LRX	S35L	2012	R	X	PP	0	15				18								5																																	<1					45										9																				14																	106
S35RRN	S35R	2012	R	N	PP	0	45				8								30																																						25										8																										8											124
S36LAX	S36L	2012	A	X	PP	1.6	6.25												<1																																	<1					<1			37.5							37.5																				25						6.25											114.1
S36RAN	S36R	2012	A	N	PP	0	6.25				6.25								1.6																																						18										25																				37.5						25											119.6
S37LRN	S37L	2012	R	N	PP	15	20				8								5																																	<1					20									15	20																										5											108
S37RRX	S37R	2012	R	X	PP	5	25				5								<1																											2.5				12							20			1							70																				6						6											152.5
S38LAX	S38L	2012	A	X	PP	0	9				6.25								<1																																						9			25						9	37.5																				18.75	1.6					3.2											119.3
S38RAN	S38R	2012	A	N	PP	3.2	9				<1								<1																																									81.25						1.6	12.5																				12.5						1.6											121.65
S39LXN	S39L	2012	X	N	PP	4	7				8																																														30			20						5	25																				20																	119
S39RXX	S39R	2012	X	X	PP	0	0																																																		10			70						5	8																				20																	113
S40LAX	S40L	2012	A	X	PP	6	12.5				12.5								<1																					9						<1											12.5			50																											37.5																	140
S40RAN	S40R	2012	A	N	PP	0	12.5				25	<1					<1	<1	<1																				<1													<1								18						1.6	37.5																				25						<1				<1							119.6
S41LAN	S41L	2012	A	N	PP	0	15																																																		5			30						5	25																				25																	105
S41RAX	S41R	2012	A	X	PP	0	10																																																					8							70																				10	10																108
S42LXX	S42L	2012	X	X	PP	3.2	37.5			<1							1.6	<1	6.25																				<1						<1	<1						6.25					50			12.5								6.25																								3.2												126.75
S42RXN	S42R	2012	X	N	PP	6.25	18.75				25								3.2																																						25			37.5																											18.75																	134.45
S43LRX	S43L	2012	R	X	PP	18	25				9								3.2										6.25										<1											37.5		3.2					6.25			6.25								9																			6.25					1.6												131.5
S43RRN	S43R	2012	R	N	PP	37.5	37.5				12.5								9										1.6																							1.6					6.25											6.25																			18																	130.2
S44LAN	S44L	2012	A	N	PP	0	0				15																																														10			60																											15						5											105
S44RAX	S44R	2012	A	X	PP	0	0			4	15	2							3										5																					15							25			35																												5					5											114
S45LRX	S45L	2012	R	X	PP	25	25												3.2																				<1	6.25												3.2					12.5			6.25							3.2									3.2											18																	105.8
S45RRN	S45R	2012	R	N	PP	37.5	37.5				9								6.25																																	1.6								9																3.2											12.5																	116.55
S46LXN	S46L	2012	X	N	PP	18	9				18						1.6		12.5										6.25										3.2	9					1.6							3.2																								1.6											25																	108.95
S46RXX	S46R	2012	X	X	PP	25	12.5				12.5								3.2																				1.6	5												1.6								37.5							9									3.2										3.2	12.5																	126.8
S47LRN	S47L	2012	R	N	PP	37.5	37.5												3.2																				1.6	6.25																	6.25									9	6.25																				9																	116.55
S47RRX	S47R	2012	R	X	PP	25	37.5				9								3.2																											1.6						1.6					18			6.25																											12.5						1.6											116.25
S48LXX	S48L	2012	X	X	PP	0	12.5																																																		6.25			75							6.25										1.6										9																	110.6
S48RXN	S48R	2012	X	N	PP	18	25												1.6																																	3.2					6.25			12.5							37.5																				18																	122.05
S25LRX	S25L	2012	R	X	SP	0	12.5				12.5								<1																																															3.2	50									1.6						12.5					18																	110.3
S25RRN	S25R	2012	R	N	SP	12.5	0				18																																																								50																				37.5																	118
S26LAX	S26L	2012	A	X	SP	6.25	6.25				18								1.6																																	1.6					12.5										12.5																				50																	108.7
S26RAN	S26R	2012	A	N	SP	0	0				18																																																								75																				18																	111
S27LXN	S27L	2012	X	N	SP	25	37.5				12.5								<1																										<1												25																						6.25								18																	124.25
S27RXX	S27R	2012	X	X	SP	6.25	6.25				12.5																																																								62.5																				25																	112.5
S28LRN	S28L	2012	R	N	SP	0	60												15																																	3					15			6																											8						3											110
S28RRX	S28R	2012	R	X	SP	0	40				10		<1						20																																									3						20	8																				15																	116
S29LXN	S29L	2012	X	N	SP	0	0				5																																														8									8	45															10					30																	106
S29RXX	S29R	2012	X	X	SP	0	10												15																																						10									15	2																				70																	122
S30LAX	S30L	2012	A	X	SP	0	0																																																		6.25			75							12.5																				18						1.6											113.35
S30RAN	S30R	2012	A	N	SP	3.2	9												<1																																	<1								75							12.5																				12.5																	112.2
S31LAN	S31L	2012	A	N	SP	0	0				37.5																																																	25						18	25															6.25					12.5						<1											124.25
S31RAX	S31R	2012	A	X	SP	0	12.5																																																					18							62.5																				12.5						<1											105.5
S32LXN	S32L	2012	X	N	SP	18	25				9								3.2																										1.6							<1					25			5.4							6.25									3.2											12.5						9											118.15
S32RXX	S32R	2012	X	X	SP	0	9				25																																														12.5			37.5							3.2									3.2											37.5						3.2											131.1
S33LRX	S33L	2012	R	X	SP	20	50				3								30																				<1																		8										5																				8																	124
S33RRN	S33R	2012	R	N	SP	37.5	37.5												12.5																										3.2							1.6					18			3.2							1.6																				5.4																	120.5
S34LXN	S34L	2012	X	N	SP	0	6.25				12.5																																														6.25			25																						12.5					25						12.5											100
S34RXX	S34R	2012	X	X	SP	0	0				12.5																																																	78.2							6.25																				12.5						9											118.45
S35LRX	S35L	2012	R	X	SP	0	65												30																																	4					25										12																				15																	151
S35RRN	S35R	2012	R	N	SP	35	5																																																		60																														10																	110
S36LAX	S36L	2012	A	X	SP	0	6.25			<1																																										1.6					3.2			75							3.2																				12.5																	101.75
S36RAN	S36R	2012	A	N	SP	3.2	12.5												6.25																										1.6												6.25			6.25							37.5																				37.5						3.2											114.25
S37LRN	S37L	2012	R	N	SP	20	10				2								30																																	5					25			5																											5						1											103
S37RRX	S37R	2012	R	X	SP	6	60												4																				<1											6							40									1.6	3																										3											123.6
S38LAX	S38L	2012	A	X	SP	3.2	6.25				12.5																																														9			37.5						3.2	37.5																				25						3.2											137.35
S38RAN	S38R	2012	A	N	SP	0	6.25				12.5																																														18.75			60						3.2	3.2																				35						3.2											142.1
S39LXN	S39L	2012	X	N	SP	5	10				5																																							2							15			2							15																				60						2											116
S39RXX	S39R	2012	X	X	SP	2	4				15																																							2							20			30						5																					25						5											108
S40LAX	S40L	2012	A	X	SP	6.25	25				6.25							<1	<1																											3.2			25								12.5			25							6.25																				37.5						<1											146.95
S40RAN	S40R	2012	A	N	SP	3.2	6.25				12.5								<1										1.6																	6.25																				9	40																				25						6.25											110.05
S41LAN	S41L	2012	A	N	SP	0	0																																																		20			70						5	2															5					5						8											115
S41RAX	S41R	2012	A	X	SP	0	5				5																		3																												3			80																											20																	116
S42LXX	S42L	2012	X	X	SP	6.25	12.5				12.5							<1	3.2																				<1							1.6						3.2					12.5			25						3.2																					37.5																	117.45
S42RXN	S42R	2012	X	N	SP	0	6.25												<1																																						25			6.25						12.5	12.5																			<1	37.5						3.2											103.2
S43LRX	S43L	2012	R	X	SP	37.5	37.5				12.5								6.25																				1.6													1.6					6.25			6.25								1.6											<1								6.25						<1											117.3
S43RRN	S43R	2012	R	N	SP	25	50												12.5										<1										1.6											1.6							12.5			1.6																																								12.5				117.3
S44LAN	S44L	2012	A	N	SP	0	0			2	10								12										8																					6							20			40																			3								10																	111
S44RAX	S44R	2012	A	X	SP	0	0			5	8		5				8		10	3															1				1											18		5					25			30																																	10											129
S45LRX	S45L	2012	R	X	SP	25	37.5				3.2								12.5																				<1	9												9					6.25		<1																	1.6			6.25							1.6	6.25																	118.15
S45RRN	S45R	2012	R	N	SP	37.5	37.5												6.25																				3.2						1.6							6.25					3.2			12.5																1.6			1.6								12.5																	123.7
S46LXN	S46L	2012	X	N	SP	18	18										6.25		37.5										1.6										3.2						1.6							3.2					25			3.2																			6.25																									123.8
S46RXX	S46R	2012	X	X	SP	9	12.5				3.2						<1		6.25										<1										1.6						<1	9						1.6								37.5							3.2																				25																	108.85
S47LRN	S47L	2012	R	N	SP	12.5	6.25					1.6							6.25																																	1.6					3.2										62.5																				6.25	12.5				1.6												114.25
S47RRX	S47R	2012	R	X	SP	3.2	12.5				6.25								1.6										1.6										1.6											6.25							12.5			12.5							75																				9																	142
S48LXX	S48L	2012	X	X	SP	3.2	9												1.6																					6.25						6.25										6.25				25							50																				18																	125.55
S48RXN	S48R	2012	X	N	SP	0	3.2				37.5								1.6																										1.6							3.2					9			18							50																				25																	149.1
S25LRX	S25L	2013	R	X	PP	12.5	18				6.75								12.5																																						<1																														50																	99.75
S25RRN	S25R	2013	R	N	PP	12.5	25				10								37.5																																																<1																				37.5																	122.5
S26LAX	S26L	2013	A	X	PP		6.75				12.5							<1	3.4																																						3.4																				<1					1.6					75																	102.65
S26RAN	S26R	2013	A	N	PP	6.75	6.75				12.5						<1		18																																						12.5										25																				25						<1											106.5
S27LXN	S27L	2013	X	N	PP	12.5	18				10								12.5																																																25																				31.75																	109.75
S27RXX	S27R	2013	X	X	PP	3.4	6.75				12.5								25																																																25										<1					<1					37.5																	110.15
S28LRN	S28L	2013	R	N	PP	37.5	37.5												25																																									1.6							3.4																				1.6						1.6											108.2
S28RRX	S28R	2013	R	X	PP	6.25	12.5				1.6								37.5																																						3.2									37.5											<1										6.25																	104.8
S29LXN	S29L	2013	X	N	PP	9	18				1.6								37.5																																						3.4									25																					3.4						6.25											104.15
S29RXX	S29R	2013	X	X	PP	6.25	6.25												37.5																																	<1					6.25									6.25	1.6										<1										37.5																	101.6
S30LAX	S30L	2013	A	X	PP														12.5																																									75							6.25												<1								12.5						12.5						<1					118.75
S30RAN	S30R	2013	A	N	PP	1.6	3.4										<1	<1	12.5																												1.6										10			12.5						12.5	12.5																				50												<1					116.6
S31LAN	S31L	2013	A	N	PP	1.6	3.4				25								12.5																																	<1							<1	25							12.5												1.6	<1							25						<1						<1					106.6
S31RAX	S31R	2013	A	X	PP		3.4											<1	6.75																																	<1					3.4			6.75							25																				68.75						<1											114.05
S32LXN	S32L	2013	X	N	PP	25	12.5				25								18																																						25			3.4																																	1.6											110.5
S32RXX	S32R	2013	X	X	PP	18	12.5				12.5								18																																						6.25			12.5							12.5										<1										12.5						<1											104.75
S33LRX	S33L	2013	R	X	PP	37.5	12.5				12.5								12.5																																						1.6			1.6																				3.2							12.5						3.2											97.1
S33RRN	S33R	2013	R	N	PP	37.5	37.5				3.2								18																																						6.25																							6.25							3.2						1.6											113.5
S34LXN	S34L	2013	X	N	PP	3.2	6.25				12.5								18																																						37.5			12.5							1.6																				12.5						1.6											105.65
S34RXX	S34R	2013	X	X	PP	6.25	6.25				6.25								18.75																																						6.25			12.5							12.5	1.6																			25						12.5											107.85
S35LRX	S35L	2013	R	X	PP	6.25	18.75				18.75								25																																						12.5										3.2	3.2																			18.75																	106.4
S35RRN	S35R	2013	R	N	PP	6.25	12.5				4.8								62.5																																						3.2										18.75																				1.6																	109.6
S36LAX	S36L	2013	A	X	PP		18.75			<1									3.2																										1.6												3.2			25							25																				25						1.6						<1					103.35
S36RAN	S36R	2013	A	N	PP						3.2								6.25																																						25			6.25						12.5	25																				25						12.5											115.7
S37LRN	S37L	2013	R	N	PP	25	25				6.25								12.5																																						12.5			1.6						9.4	9.4																				1.6																	103.25
S37RRX	S37R	2013	R	X	PP	6.25	6.25				6.25																																							6.25							6.25									12.5	50																				6.25																	100
S38LAX	S38L	2013	A	X	PP	3.2	12.5				6.25								12.5																																						6.25			12.5							25																				25	6.25																109.45
S38RAN	S38R	2013	A	N	PP	12.5	12.5												37.5																																						6.25									3.2	3.2	1.6																			37.5																	114.25
S39LXN	S39L	2013	X	N	PP		6.25				6.25								6.25																																						6.25			25						6.25	25																				25																	106.25
S39RXX	S39R	2013	X	X	PP	3.2	25												18.75																																						12.5			12.5							12.5																				25																	109.45
S40LAX	S40L	2013	A	X	PP	3.2	6.25			1.6	12.5								3.2																					6.25																	6.25			18.75																											62.5																	120.5
S40RAN	S40R	2013	A	N	PP	6.25	6.25				12.5								3.2										1.6																												3.2			6.25							50																				18.75																	108
S41LAN	S41L	2013	A	N	PP	6.25	12.5												6.25																										3.2												6.25			25						6.25	25															<1					12.5						<1											103.2
S41RAX	S41R	2013	A	X	PP		6.25												1.6																										3.2												1.6			6.25							75																				6.25	3.2																103.35
S42LXX	S42L	2013	X	X	PP	6.25	9.5										<1		37.5																																						37.5			3.2						1.6		1.6																			6.25																	103.4
S42RXN	S42R	2013	X	N	PP	12.5	18.75				12.5								12.5																																						18.75			12.5																											12.5						<1											100
S43LRX	S43L	2013	R	X	PP	37.5	37.5				6.25								12.5																															12.5							<1			6.25								1.6																			6.25																	120.35
S43RRN	S43R	2013	R	N	PP	25	37.5				6.25								18.75																																						<1											1.6																			12.5																	101.6
S44LAN	S44L	2013	A	N	PP		3.2				12.5						<1		6.25										6.25							<1									1.6					25							12.5		<1	25								6.25																			25																	123.55
S44RAX	S44R	2013	A	X	PP					<1	25						<1		1.6										6.25						<1															18.75							12.5		<1	37.5																												12.5											<1					114.1
S45LRX	S45L	2013	R	X	PP	32.5	42.75												9.5																				<1																		12.5			1.6							1.6										<1										9.5																	109.95
S45RRN	S45R	2013	R	N	PP	37.5	37.5				3.2								12.5																				1.6																					6.25																	<1										6.25																	104.8
S46LXN	S46L	2013	X	N	PP	12.5	12.5				9.5								40.5																					6.25																																					<1										25																	106.25
S46RXX	S46R	2013	X	X	PP	18.75	3.2				6.25						<1		12.5																																	<1								25							25																			1.6	12.5																	104.8
S47LRN	S47L	2013	R	N	PP	62.5	12.5				1.6								6.25																					1.6																	<1									6.25	4.8																				6.25																	101.75
S47RRX	S47R	2013	R	X	PP	25	12.5				12.5								25																																						6.25			3.2							6.25																				12.5																	103.2
S48LXX	S48L	2013	X	X	PP	12.5	12.5				6.25								12.5																																						6.25			25							6.25																				25																	106.25
S48RXN	S48R	2013	X	N	PP	9.5	3.2				6.25								6.25																																						6.25			12.5							25																				37.5																	106.45
S25LRX	S25L	2013	R	X	SP	6.75	6.75				18								12.5																																															<1	62.5															12.5					18																	137
S25RRN	S25R	2013	R	N	SP	6.75	3.4				18								<1																																																62.5																				25																	115.65
S26LAX	S26L	2013	A	X	SP	6.75	6.75				10							<1	3.4																																						12.5										12.5																				50																	101.9
S26RAN	S26R	2013	A	N	SP						18								<1																																																75																				18																	111
S27LXN	S27L	2013	X	N	SP	3.4	6.75				12.5						1.6		10																																						62.5																						12.5								12.5																	121.75
S27RXX	S27R	2013	X	X	SP	3.4	4.8				12.5								3.4																																																68																				18																	110.1
S28LRN	S28L	2013	R	N	SP	37.5	37.5												25																															<1							1.6			6.25																											3.2	<1																111.05
S28RRX	S28R	2013	R	X	SP	18	25				3.2								25																																															25	6.25																				3.2																	105.65
S29LXN	S29L	2013	X	N	SP	1.6	3.4												3.4																																						3.4									6.25	50																				37.5																	105.55
S29RXX	S29R	2013	X	X	SP	3.4	12.5												6.25																																						6.25									6.25											<1										68.75																	103.4
S30LAX	S30L	2013	A	X	SP												<1		12.5																																						3.4		<1	37.5							12.5																				37.5												<1					103.4
S30RAN	S30R	2013	A	N	SP	3.4	3.4			<1							<1		12.5																																<1									50							6.75												12.5	<1							18						1.6						<1					108.15
S31LAN	S31L	2013	A	N	SP														6.75																																									25						37.5	12.5												<1			6.75					37.5						<1						<1					126
