Year	Plot	Treat_W	Treat_N	biomass_g	grass_per	for_per	bare_per	litter_per	total_live
2011	G18LXN	X	N	36.59	50	0	0	50	50
2011	G18LXN	X	N	8.69	40	0	30	30	40
2011	G18LXN	X	N	100.83	50	0	0	50	50
2011	G18LXN	X	N	6.55	40	0	45	15	40
2011	G18RXX	X	X	17.31	40	0	10	50	40
2011	G18RXX	X	X	13.92	30	0	0	70	30
2011	G18RXX	X	X	57.93	90	0	0	10	90
2011	G18RXX	X	X	41.95	70	0	20	10	70
2011	G19LXX	X	X	33.93	70	0	15	15	70
2011	G19LXX	X	X	50.12	90	0	0	10	90
2011	G19LXX	X	X	54.16	90	0	0	10	90
2011	G19LXX	X	X	32.45	70	0	20	10	70
2011	G19RXN	X	N	28.5	65	0	25	10	65
2011	G19RXN	X	N	35.59	60	0	30	10	60
2011	G19RXN	X	N	1.54	10	0	80	10	10
2011	G19RXN	X	N	2	10	0	75	15	10
2011	G20LRX	R	X	9.05	25	25	30	20	50
2011	G20LRX	R	X	12.44	20	15	45	20	35
2011	G20LRX	R	X	54.61	70	10	10	10	80
2011	G20LRX	R	X	6.25	15	15	60	10	30
2011	G20RRN	R	N	51.01	70	5	15	10	75
2011	G20RRN	R	N	5.28	25	10	25	40	35
2011	G20RRN	R	N	15.41	60	20	15	5	80
2011	G20RRN	R	N	65.08	60	5	30	5	65
2011	G21LRX	R	X	29.45	30	20	40	10	50
2011	G21LRX	R	X	44.11	35	20	30	15	55
2011	G21LRX	R	X	55.69	75	20	0	5	95
2011	G21LRX	R	X	12.05	15	35	40	10	50
2011	G21RRN	R	N	20.8	30	30	25	15	60
2011	G21RRN	R	N	42.92	45	0	45	10	45
2011	G21RRN	R	N	20.6	30	40	25	5	70
2011	G21RRN	R	N	31.66	30	40	25	5	70
2011	G22LXX	X	X	11.62	40	0	40	20	40
2011	G22LXX	X	X	14.2	40	15	25	20	55
2011	G22LXX	X	X	58.56	60	0	30	10	60
2011	G22LXX	X	X	20.28	60	0	20	20	60
2011	G22RXN	X	N	13.2	20	0	50	30	20
2011	G22RXN	X	N	58.58	90	0	0	10	90
2011	G22RXN	X	N	61.76	65	0	25	10	65
2011	G22RXN	X	N	4.88	30	0	50	20	30
2011	G23LAX	A	X	39.07	90	0	0	10	90
2011	G23LAX	A	X	34	70	0	10	20	70
2011	G23LAX	A	X	36.4	70	0	0	30	70
2011	G23LAX	A	X	76.08	80	0	10	10	80
2011	G23RAN	A	N	48.02	50	0	10	40	50
2011	G23RAN	A	N	40.39	50	0	10	40	50
2011	G23RAN	A	N	35.85	40	0	60	0	40
2011	G23RAN	A	N	58.07	90	0	0	10	90
2011	G24LAN	A	N	11.6	40	0	45	15	40
2011	G24LAN	A	N	1.2	20	0	60	20	20
2011	G24LAN	A	N	3.61	30	0	40	30	30
2011	G24LAN	A	N	3.33	25	0	65	10	25
2011	G24RAX	A	X	42.07	70	0	0	30	70
2011	G24RAX	A	X	62.78	90	0	0	10	90
2011	G24RAX	A	X	38.01	70	0	0	30	70
2011	G24RAX	A	X	42.3	80	0	0	20	80
2012	G01LXN	X	N	21.89	60	0	0	40	60
2012	G01LXN	X	N	38.32	65	0	0	35	65
2012	G01LXN	X	N	15.34	30	0	30	40	30
2012	G01LXN	X	N	15.62	55	0	5	40	55
2012	G01RXX	X	X	18.01	30	0	0	70	30
2012	G01RXX	X	X	6.56	9	81	10	0	90
2012	G01RXX	X	X	38.46	60	0	10	30	60
2012	G01RXX	X	X	31.19	72	3	0	25	75
2012	G02LAX	A	X	4.93	15	0	30	55	15
2012	G02LAX	A	X	15.99	20	0	0	80	20
2012	G02LAX	A	X	5.39	25	0	50	25	25
2012	G02LAX	A	X	23.45	30	0	50	20	30
2012	G02RAN	A	N	22.51	30	0	0	70	30
2012	G02RAN	A	N	27.38	35	0	0	65	35
2012	G02RAN	A	N	41.38	40	0	10	50	40
2012	G02RAN	A	N	29.71	30	0	0	70	30
2012	G03LRX	R	X	14.11	30	40	30	0	70
2012	G03LRX	R	X	8.14	55	3	42	0	58
2012	G03LRX	R	X	11.3	45	0	0	55	45
2012	G03LRX	R	X	14.21	50	0	20	30	50
2012	G03RRN	R	N	22.22	15	0	0	85	15
2012	G03RRN	R	N	5.74	10	0	0	90	10
2012	G03RRN	R	N	20.86	30	0	0	70	30
2012	G03RRN	R	N	7.27	20	0	40	40	20
2012	G04LXX	X	X	32.03	60	0	0	40	60
2012	G04LXX	X	X	11.93	40	0	10	50	40
2012	G04LXX	X	X	28.93	50	0	30	20	50
2012	G04LXX	X	X	34.56	50	0	25	25	50
2012	G04RXN	X	N	22.35	40	0	0	60	40
2012	G04RXN	X	N	8.12	15	0	75	10	15
2012	G04RXN	X	N	20.78	60	0	10	30	60
2012	G04RXN	X	N	24.81	60	0	0	40	60
2012	G05LRN	R	N	18.77	40	0	0	60	40
2012	G05LRN	R	N	7.31	40	0	15	45	40
2012	G05LRN	R	N	16	60	0	5	35	60
2012	G05LRN	R	N	9.13	35	0	10	55	35
2012	G05RRX	R	X	18.17	20	0	0	80	20
2012	G05RRX	R	X	11.98	50	0	25	25	50
2012	G05RRX	R	X	9.03	25	0	35	40	25
2012	G05RRX	R	X	7.97	20	5	50	25	25
2012	G06LAN	A	N	20.33	1	4	40	55	5
2012	G06LAN	A	N	34.28	55	0	10	35	55
2012	G06LAN	A	N	31.05	40	0	10	50	40
2012	G06LAN	A	N	72.42	70	0	15	15	70
2012	G06RAX	A	X	61.04	87	3	0	10	90
2012	G06RAX	A	X	40.57	85	0	0	15	85
2012	G06RAX	A	X	42.63	90	0	0	10	90
2012	G06RAX	A	X	14.48	50	0	10	40	50
2012	G07LRX	R	X	28.83	25	35	30	10	60
2012	G07LRX	R	X	34.85	20	40	20	20	60
2012	G07LRX	R	X	8.91	30	0	50	20	30
2012	G07LRX	R	X	6.73	25	0	70	5	25
2012	G07RRN	R	N	16.21	40	0	30	30	40
2012	G07RRN	R	N	14.66	40	0	50	10	40
2012	G07RRN	R	N	15.22	50	0	30	20	50
2012	G07RRN	R	N	26.97	50	10	25	15	60
2012	G08LXX	X	X	4.63	25	0	50	25	25
2012	G08LXX	X	X	38.29	40	0	0	60	40
2012	G08LXX	X	X	16.21	25	0	35	40	25
2012	G08LXX	X	X	16.67	60	0	10	30	60
2012	G08RXN	X	N	36.22	60	0	30	10	60
2012	G08RXN	X	N	61.39	80	0	0	20	80
2012	G08RXN	X	N	19.16	40	0	40	20	40
2012	G08RXN	X	N	27.43	80	0	0	20	80
2012	G09LAX	A	X	39.41	70	0	0	30	70
2012	G09LAX	A	X	47.24	70	0	0	30	70
2012	G09LAX	A	X	33.35	60	0	0	40	60
2012	G09LAX	A	X	62.35	60	0	10	30	60
2012	G09RAN	A	N	69.53	70	0	0	30	70
2012	G09RAN	A	N	45.67	80	0	0	20	80
2012	G09RAN	A	N	76.61	90	0	0	10	90
2012	G09RAN	A	N	53.66	60	0	10	30	60
2012	G10LAX	A	X	67.65	40	30	25	5	70
2012	G10LAX	A	X	60.94	60	0	30	10	60
2012	G10LAX	A	X	25.15	35	0	55	10	35
2012	G10LAX	A	X	35.28	50	0	45	5	50
2012	G10RAN	A	N	13.28	70	0	0	30	70
2012	G10RAN	A	N	7.68	25	0	25	50	25
2012	G10RAN	A	N	2.87	5	0	90	5	5
2012	G10RAN	A	N	7.74	25	0	65	10	25
2012	G11LRN	R	N	10.96	20	15	30	35	35
2012	G11LRN	R	N	9.33	25	0	0	75	25
2012	G11LRN	R	N	9.24	40	0	20	40	40
2012	G11LRN	R	N	18.89	40	0	30	30	40
2012	G11RRX	R	X	8.92	10	10	70	10	20
2012	G11RRX	R	X	11.23	40	0	20	40	40
2012	G11RRX	R	X	10.38	40	0	50	10	40
2012	G11RRX	R	X	11.85	30	0	40	30	30
2012	G12LXN	X	N	43.49	70	0	15	15	70
2012	G12LXN	X	N	87.73	30	50	10	10	80
2012	G12LXN	X	N	1.63	15	0	70	15	15
2012	G12LXN	X	N	15.12	30	5	50	15	35
2012	G12RXX	X	X	15.49	30	0	0	70	30
2012	G12RXX	X	X	32.88	60	0	10	30	60
2012	G12RXX	X	X	51.25	70	0	0	30	70
2012	G12RXX	X	X	38.05	60	0	0	40	60
2012	G13LAX	A	X	16.61	70	10	0	20	80
2012	G13LAX	A	X	9.03	30	0	30	40	30
2012	G13LAX	A	X	27.45	70	5	15	10	75
2012	G13LAX	A	X	17.68	40	30	30	0	70
2012	G13RAN	A	N	12.46	35	0	15	50	35
2012	G13RAN	A	N	6.03	40	0	15	45	40
2012	G13RAN	A	N	8.63	40	0	55	5	40
2012	G13RAN	A	N	18.75	50	5	15	30	55
2012	G14LRN	R	N	1.95	15	5	0	80	20
2012	G14LRN	R	N	3.6	20	10	25	45	30
2012	G14LRN	R	N	5.79	35	0	15	50	35
2012	G14LRN	R	N	3.87	15	0	10	75	15
2012	G14RRX	R	X	2.4	15	5	45	35	20
2012	G14RRX	R	X	12.73	35	10	10	45	45
2012	G14RRX	R	X	4.34	30	0	10	60	30
2012	G14RRX	R	X	3.85	20	0	40	40	20
2012	G15LRN	R	N	11.52	40	0	10	50	40
2012	G15LRN	R	N	6.85	40	0	10	50	40
2012	G15LRN	R	N	9.37	5	35	50	10	40
2012	G15LRN	R	N	17.5	25	25	20	30	50
2012	G15RRX	R	X	7.61	10	15	15	60	25
2012	G15RRX	R	X	8.85	10	20	20	50	30
2012	G15RRX	R	X	24.64	15	35	10	40	50
2012	G15RRX	R	X	8.43	35	0	40	25	35
2012	G16LXN	X	N	20.52	10	30	50	10	40
2012	G16LXN	X	N	12.49	10	15	60	15	25
2012	G16LXN	X	N	15.21	10	40	40	10	50
2012	G16LXN	X	N	5.65	15	15	65	5	30
2012	G16RXX	X	X	14.96	20	0	20	60	20
2012	G16RXX	X	X	9.14	15	10	50	25	25
2012	G16RXX	X	X	29.35	40	25	25	10	65
2012	G16RXX	X	X	11.37	30	20	40	10	50
2012	G17LAN	A	N	7.56	15	0	60	25	15
2012	G17LAN	A	N	36.41	40	0	50	10	40
2012	G17LAN	A	N	45.74	30	50	10	10	80
2012	G17LAN	A	N	33.37	25	25	25	25	50
2012	G17RAX	A	X	46.55	70	0	0	30	70
2012	G17RAX	A	X	63.16	80	0	0	20	80
2012	G17RAX	A	X	55.79	70	0	0	30	70
2012	G17RAX	A	X	48.87	40	0	30	30	40
2012	G18LXN	X	N	6.91	10	0	0	90	10
2012	G18LXN	X	N	79.98	45	45	5	5	90
2012	G18LXN	X	N	21.86	40	0	50	10	40
2012	G18LXN	X	N	33.17	20	60	0	20	80
2012	G18RXX	X	X	10.32	30	0	30	40	30
2012	G18RXX	X	X	2.11	5	0	75	20	5
2012	G18RXX	X	X	11.8	40	0	30	30	40
2012	G18RXX	X	X	17.49	60	0	0	40	60
2012	G19LXX	X	X	21.15	50	0	0	50	50
2012	G19LXX	X	X	4.45	30	0	15	55	30
2012	G19LXX	X	X	9.69	30	0	25	45	30
2012	G19LXX	X	X	11.64	35	0	25	40	35
2012	G19RXN	X	N	4.83	5	0	90	5	5
2012	G19RXN	X	N	5.54	30	0	40	30	30
2012	G19RXN	X	N	14.63	45	0	50	5	45
2012	G19RXN	X	N	13.44	40	0	50	10	40
2012	G20LRX	R	X	3.49	0	13	85	2	13
2012	G20LRX	R	X	9.48	0	25	65	10	25
2012	G20LRX	R	X	14.47	10	50	0	40	60
2012	G20LRX	R	X	4	2	21	75	2	23
2012	G20RRN	R	N	5.85	0	10	75	15	10
2012	G20RRN	R	N	15.83	7	43	30	20	50
2012	G20RRN	R	N	5.78	5	25	40	30	30
2012	G20RRN	R	N	0.59	5	0	93	2	5
2012	G21LRX	R	X	4.16	25	5	20	50	30
2012	G21LRX	R	X	8	25	25	5	45	50
2012	G21LRX	R	X	7.54	15	20	30	35	35
2012	G21LRX	R	X	4.76	5	25	35	35	30
2012	G21RRN	R	N	4.75	25	0	15	60	25
2012	G21RRN	R	N	4.6	36	4	10	50	40
2012	G21RRN	R	N	2.42	5	5	85	5	10
2012	G21RRN	R	N	7.7	25	5	25	45	30
2012	G22LXX	X	X	9.3	25	5	40	30	30
2012	G22LXX	X	X	8.57	50	5	10	35	55
2012	G22LXX	X	X	13.05	30	0	40	30	30
2012	G22LXX	X	X	12.18	40	5	45	10	45
2012	G22RXN	X	N	26.24	55	5	10	30	60
2012	G22RXN	X	N	63.09	90	5	0	5	95
2012	G22RXN	X	N	27.82	35	35	15	15	70
2012	G22RXN	X	N	13.21	15	25	50	10	40
2012	G23LAX	A	X	3.27	10	0	10	80	10
2012	G23LAX	A	X	56.84	60	0	0	40	60
2012	G23LAX	A	X	16.54	20	0	20	60	20
2012	G23LAX	A	X	1.42	15	0	70	15	15
2012	G23RAN	A	N	29.85	80	0	10	10	80
2012	G23RAN	A	N	26.95	60	0	0	40	60
2012	G23RAN	A	N	32.42	80	0	0	20	80
2012	G23RAN	A	N	17.18	50	0	25	25	50
2012	G24LAN	A	N	7.48	25	5	65	5	30
2012	G24LAN	A	N	5.32	20	0	60	20	20
2012	G24LAN	A	N	69.99	50	0	10	25	50
2012	G24LAN	A	N	20.58	30	0	60	10	30
2012	G24RAX	A	X	18.84	40	0	0	60	40
2012	G24RAX	A	X	14.33	25	0	0	75	25
2012	G24RAX	A	X	30.65	35	0	40	25	35
2012	G24RAX	A	X	13.12	35	0	30	35	35
2013	G01LXN	X	N	13.36	60	5	5	30	65
2013	G01LXN	X	N	29.89	95	0	0	5	95
2013	G01LXN	X	N	19.14	70	0	5	25	70
2013	G01LXN	X	N	6.19	75	2	5	18	77
2013	G01RXX	X	X	13.61	85	2	5	8	87
2013	G01RXX	X	X	25.66	95	0	2	3	95
2013	G01RXX	X	X	12.9	70	0	5	25	70
2013	G01RXX	X	X	11.73	20	50	5	25	70
2013	G02LAX	A	X	34.45	58	40	0	2	98
2013	G02LAX	A	X	41.15	95	0	0	5	95
2013	G02LAX	A	X	27.94	95	5	0	0	100
2013	G02LAX	A	X	39.19	45	50	0	5	95
2013	G02RAN	A	N	42.69	90	5	0	5	95
2013	G02RAN	A	N	30.87	85	10	0	5	95
2013	G02RAN	A	N	16.11	60	30	0	10	90
2013	G02RAN	A	N	45.29	85	10	0	5	95
2013	G03LRX	R	X	6.54	5	2	0	93	7
2013	G03LRX	R	X	5.37	3	5	5	87	8
2013	G03LRX	R	X	1.37	2	0	0	98	2
2013	G03LRX	R	X	0.86	2	5	10	83	7
2013	G03RRN	R	N	3.5	5	0	0	95	5
2013	G03RRN	R	N	4.75	5	0	0	95	5
2013	G03RRN	R	N	4.06	5	0	5	90	5
2013	G03RRN	R	N	1.84	10	0	0	90	10
2013	G04LXX	X	X	9.68	40	0	20	40	40
2013	G04LXX	X	X	16.43	70	0	20	10	70
2013	G04LXX	X	X	11.45	50	5	40	5	55
2013	G04LXX	X	X	7.8	45	10	25	20	55
2013	G04RXN	X	N	12.23	55	25	15	5	80
2013	G04RXN	X	N	3.84	65	10	5	20	75
2013	G04RXN	X	N	15.94	85	5	0	10	90
2013	G04RXN	X	N	25.58	70	20	0	10	90
2013	G05LRN	R	N	3.65	10	10	50	30	20
2013	G05LRN	R	N	1.35	0	0	20	80	0
2013	G05LRN	R	N	7.1	10	25	41	25	35
2013	G05LRN	R	N	8.31	0	30	5	65	30
2013	G05RRX	R	X	3.43	0	0	0	100	0
2013	G05RRX	R	X	7.09	20	0	5	75	20
2013	G05RRX	R	X	4.62	5	0	5	90	5
2013	G05RRX	R	X	2.53	10	0	0	90	10
2013	G06LAN	A	N	35.95	50	40	0	10	90
2013	G06LAN	A	N	56.45	70	30	0	0	100
2013	G06LAN	A	N	39.45	92	3	0	5	95
2013	G06LAN	A	N	8.8	50	20	0	30	70
2013	G06RAX	A	X	31.95	90	10	0	0	100
2013	G06RAX	A	X	44.23	90	10	0	0	100
2013	G06RAX	A	X	24.48	87	3	5	5	90
2013	G06RAX	A	X	20.73	85	5	5	5	90
2013	G07LRX	R	X	3.94	0	20	20	60	20
2013	G07LRX	R	X	2.48	0	10	20	70	10
2013	G07LRX	R	X	6.66	0	20	60	20	20
2013	G07LRX	R	X	3.44	0	10	60	30	10
2013	G07RRN	R	N	1.69	0	10	40	50	10
2013	G07RRN	R	N	0.53	0	10	30	60	10
2013	G07RRN	R	N	6.66	0	20	60	20	20
2013	G07RRN	R	N	2.45	0	10	10	80	10
2013	G08LXX	X	X	17.52	80	5	5	10	85
2013	G08LXX	X	X	27.58	73	5	2	20	78
2013	G08LXX	X	X	30.72	88	2	5	5	90
2013	G08LXX	X	X	10.38	40	10	10	40	50
2013	G08RXN	X	N	25.97	70	0	0	30	70
2013	G08RXN	X	N	32.42	80	0	0	20	80
2013	G08RXN	X	N	6.42	80	5	10	5	85
2013	G08RXN	X	N	18.42	80	0	0	20	80
2013	G09LAX	A	X	49.88	85	5	0	10	90
2013	G09LAX	A	X	48.92	85	10	0	5	95
2013	G09LAX	A	X	40.09	75	5	5	15	80
2013	G09LAX	A	X	48.57	80	20	0	0	100
2013	G09RAN	A	N	47.06	95	5	0	0	100
2013	G09RAN	A	N	37.98	75	5	0	20	80
2013	G09RAN	A	N	24.34	85	10	0	5	95
2013	G09RAN	A	N	34.65	90	0	0	10	90
2013	G10LAX	A	X	26.49	32	3	5	60	35
2013	G10LAX	A	X	43.64	90	2	3	5	92
2013	G10LAX	A	X	19.33	65	10	5	20	75
2013	G10LAX	A	X	9.12	30	0	20	50	30
2013	G10RAN	A	N	18.04	70	10	0	20	80
2013	G10RAN	A	N	42.55	95	0	5	0	95
2013	G10RAN	A	N	12.08	15	30	50	5	45
2013	G10RAN	A	N	6.16	45	20	25	10	65
2013	G11LRN	R	N	0.89	0	2	20	78	2
2013	G11LRN	R	N	4.95	0	40	45	15	40
2013	G11LRN	R	N	9.92	5	25	60	10	30
2013	G11LRN	R	N	3.01	0	10	10	80	10
2013	G11RRX	R	X	0.46	0	0	0	0	0
2013	G11RRX	R	X	2.95	0	30	10	60	30
2013	G11RRX	R	X	1.09	0	2	25	73	2
2013	G11RRX	R	X	2.48	0	20	20	60	20
2013	G12LXN	X	N	1.61	30	0	20	50	30
2013	G12LXN	X	N	20.04	70	5	0	25	75
2013	G12LXN	X	N	6.91	55	10	5	30	65
2013	G12LXN	X	N	8.25	30	5	20	45	35
2013	G12RXX	X	X	20.95	100	0	0	0	100
2013	G12RXX	X	X	17.65	100	0	0	0	100
2013	G12RXX	X	X	14.43	95	0	0	5	95
2013	G12RXX	X	X	12.69	85	5	0	10	90
2013	G13LAX	A	X	42.69	85	15	0	0	100
2013	G13LAX	A	X	21	75	20	0	5	95
2013	G13LAX	A	X	21.62	60	30	0	10	90
2013	G13LAX	A	X	28.97	75	20	0	5	95
2013	G13RAN	A	N	7.72	35	10	15	40	45
2013	G13RAN	A	N	12.61	60	10	20	10	70
2013	G13RAN	A	N	20.92	30	50	10	10	80
2013	G13RAN	A	N	3.53	0	20	20	60	20
2013	G14LRN	R	N	3.23	5	10	20	65	15
2013	G14LRN	R	N	3.34	10	0	5	85	10
2013	G14LRN	R	N	4.25	5	0	5	90	5
2013	G14LRN	R	N	1.28	0	5	30	65	5
2013	G14RRX	R	X	4.06	5	10	5	80	15
2013	G14RRX	R	X	2.39	5	10	10	75	15
2013	G14RRX	R	X	6.37	0	20	30	50	20
2013	G14RRX	R	X	4.65	5	30	5	60	35
2013	G15LRN	R	N	5.2	5	0	0	95	5
2013	G15LRN	R	N	1.25	5	5	5	85	10
2013	G15LRN	R	N	3.84	10	10	20	60	20
2013	G15LRN	R	N	1.91	10	5	5	80	15
2013	G15RRX	R	X	4.51	0	5	30	65	5
2013	G15RRX	R	X	2.43	5	0	20	75	5
2013	G15RRX	R	X	1.42	5	0	30	65	5
2013	G15RRX	R	X	1.51	5	5	5	85	10
2013	G16LXN	X	N	7.88	20	30	0	50	50
2013	G16LXN	X	N	16.66	70	10	0	20	80
2013	G16LXN	X	N	6	5	30	10	55	35
2013	G16LXN	X	N	4.14	20	5	10	65	25
2013	G16RXX	X	X	9.7	60	10	0	30	70
2013	G16RXX	X	X	12.89	70	10	0	20	80
2013	G16RXX	X	X	6.05	15	25	10	50	40
2013	G16RXX	X	X	7.77	20	10	30	40	30
2013	G17LAN	A	N	14.54	40	40	0	20	80
2013	G17LAN	A	N	6.7	20	20	10	50	40
2013	G17LAN	A	N	36.32	70	20	0	10	90
2013	G17LAN	A	N	20.35	70	20	0	10	90
2013	G17RAX	A	X	48.29	85	5	0	10	90
2013	G17RAX	A	X	41.14	90	5	0	5	95
2013	G17RAX	A	X	31.27	95	5	0	0	100
2013	G17RAX	A	X	48.72	90	10	0	0	100
2013	G18LXN	X	N	7.44	5	5	5	85	10
2013	G18LXN	X	N	4.01	40	20	10	30	60
2013	G18LXN	X	N	5.31	10	5	5	80	15
2013	G18LXN	X	N	2.41	15	0	5	80	15
2013	G18RXX	X	X	3.31	20	5	10	65	25
2013	G18RXX	X	X	3.65	15	10	30	45	25
2013	G18RXX	X	X	11.91	20	35	5	40	55
2013	G18RXX	X	X	4.45	20	10	40	30	30
2013	G19LXX	X	X	8.43	15	15	0	70	30
2013	G19LXX	X	X	16.63	60	20	0	20	80
2013	G19LXX	X	X	2.31	5	5	10	80	10
2013	G19LXX	X	X	6.6	25	15	30	30	40
2013	G19RXN	X	N	10.31	70	0	10	20	70
2013	G19RXN	X	N	13.37	70	5	25	0	75
2013	G19RXN	X	N	6.84	45	15	20	20	60
2013	G19RXN	X	N	7.01	40	10	30	20	50
2013	G20LRX	R	X	1.59	0	15	15	70	15
2013	G20LRX	R	X	2.16	0	10	80	10	10
2013	G20LRX	R	X	0.48	0	5	85	10	5
2013	G20LRX	R	X	2.97	0	15	15	70	15
2013	G20RRN	R	N	0.95	0	10	60	30	10
2013	G20RRN	R	N	1.51	0	20	30	50	20
2013	G20RRN	R	N	1.3	0	20	60	20	20
2013	G20RRN	R	N	0	0	0	60	40	0
2013	G21LRX	R	X	4.55	0	5	85	10	5
2013	G21LRX	R	X	1.39	0	5	85	10	5
2013	G21LRX	R	X	1.05	0	5	50	45	5
2013	G21LRX	R	X	0	0	0	30	70	0
2013	G21RRN	R	N	12.6	50	0	0	50	50
2013	G21RRN	R	N	20.63	0	30	30	40	30
2013	G21RRN	R	N	4.22	0	10	40	50	10
2013	G21RRN	R	N	0.99	5	5	10	80	10
2013	G22LXX	X	X	4.37	30	0	40	30	30
2013	G22LXX	X	X	4.69	25	0	50	25	25
2013	G22LXX	X	X	6.36	20	0	10	70	20
2013	G22LXX	X	X	5.16	70	0	10	20	70
2013	G22RXN	X	N	16.38	80	0	0	20	80
2013	G22RXN	X	N	23.32	40	20	0	40	60
2013	G22RXN	X	N	5.84	40	20	0	40	60
2013	G22RXN	X	N	20.23	50	0	0	50	50
2013	G23LAX	A	X	37.41	60	0	10	30	60
2013	G23LAX	A	X	38.37	85	5	0	10	90
2013	G23LAX	A	X	45.22	80	0	0	20	80
2013	G23LAX	A	X	35.33	60	5	30	5	65
2013	G23RAN	A	N	5.54	20	0	30	50	20
2013	G23RAN	A	N	56.95	100	0	0	0	100
2013	G23RAN	A	N	77.3	50	50	0	0	100
2013	G23RAN	A	N	67.28	70	30	0	0	100
2013	G24LAN	A	N	14.3	40	5	40	15	45
2013	G24LAN	A	N	29.63	90	0	5	5	90
2013	G24LAN	A	N	35	85	0	10	5	85
2013	G24LAN	A	N	26.67	80	0	5	5	80
2013	G24RAX	A	X	18.34	75	0	0	25	75
2013	G24RAX	A	X	36.59	85	0	0	15	85
2013	G24RAX	A	X	19.16	60	0	5	35	60
2013	G24RAX	A	X	12.04	50	10	20	20	60
2014	G01LXN	X	N	20.27	0	90	0	10	90
2014	G01LXN	X	N	5.66	0	20	0	80	20
2014	G01LXN	X	N	12.51	5	60	5	30	65
2014	G01LXN	X	N	4.86	0	30	30	40	30
2014	G01RXX	X	X	15.2	5	70	5	20	75
2014	G01RXX	X	X	6.57	5	20	5	70	25
2014	G01RXX	X	X	8.73	0	40	10	50	40
2014	G01RXX	X	X	15.92	0	25	50	25	25
2014	G02LAX	A	X	14.85	10	80	0	10	90
2014	G02LAX	A	X	14.21	10	70	15	5	80
2014	G02LAX	A	X	8.89	5	20	15	60	25
2014	G02LAX	A	X	16.66	10	60	0	30	70
2014	G02RAN	A	N	15.13	35	25	0	40	60
2014	G02RAN	A	N	23.29	25	40	0	35	65
2014	G02RAN	A	N	16.55	5	55	30	10	60
2014	G02RAN	A	N	12.95	20	30	10	40	50
2014	G03LRX	R	X	0	0	0	5	95	0
2014	G03LRX	R	X	0.11	0	5	15	80	5
2014	G03LRX	R	X	0	0	0	60	40	0
2014	G03LRX	R	X	0.14	0	5	5	90	5
2014	G03RRN	R	N	8.05	0	25	5	70	25
2014	G03RRN	R	N	2.96	0	10	0	90	10
2014	G03RRN	R	N	9.84	0	25	5	70	25
2014	G03RRN	R	N	3.49	0	10	0	90	10
2014	G04LXX	X	X	10.3	30	10	5	55	40
2014	G04LXX	X	X	26.66	10	35	50	5	45
2014	G04LXX	X	X	23.07	5	80	0	15	85
2014	G04LXX	X	X	22.01	5	70	15	10	75
2014	G04RXN	X	N	11.24	0	50	40	10	50
2014	G04RXN	X	N	12.49	5	40	20	35	45
2014	G04RXN	X	N	9.98	10	40	0	50	50
2014	G04RXN	X	N	9.11	10	30	0	60	40
2014	G05LRN	R	N	0.83	0	5	30	65	5
2014	G05LRN	R	N	0	0	0	90	10	0
2014	G05LRN	R	N	0.51	5	5	10	80	10
2014	G05LRN	R	N	0	0	0	70	30	0
2014	G05RRX	R	X	0.48	0	5	0	95	5
2014	G05RRX	R	X	3.04	0	10	5	85	10
2014	G05RRX	R	X	0	0	0	75	25	0
2014	G05RRX	R	X	0	0	0	5	95	0
2014	G06LAN	A	N	13.07	80	5	0	15	85
2014	G06LAN	A	N	9.63	60	10	0	30	70
2014	G06LAN	A	N	30.67	50	40	0	10	90
2014	G06LAN	A	N	23.36	65	5	10	20	70
2014	G06RAX	A	X	21.23	80	5	0	15	85
2014	G06RAX	A	X	16.26	60	20	0	20	80
2014	G06RAX	A	X	28.63	40	30	10	20	70
2014	G06RAX	A	X	14.4	30	50	5	15	80
2014	G07LRX	R	X	0	0	0	85	15	0
2014	G07LRX	R	X	0	0	0	90	10	0
2014	G07LRX	R	X	0	0	0	50	50	0
2014	G07LRX	R	X	0	0	0	90	10	0
2014	G07RRN	R	N	0	0	0	70	30	0
2014	G07RRN	R	N	0	0	0	80	20	0
2014	G07RRN	R	N	1.84	0	5	55	40	5
2014	G07RRN	R	N	0	0	0	60	40	0
2014	G08LXX	X	X	7.13	10	20	0	70	30
2014	G08LXX	X	X	15.53	5	45	0	50	50
2014	G08LXX	X	X	9.86	20	40	30	10	60
2014	G08LXX	X	X	9.24	40	20	20	20	60
2014	G08RXN	X	N	17.1	80	10	0	10	90
2014	G08RXN	X	N	7.34	20	5	0	75	25
2014	G08RXN	X	N	17.83	25	25	10	40	50
2014	G08RXN	X	N	13.98	10	20	5	65	30
2014	G09LAX	A	X	17.17	20	50	10	20	70
2014	G09LAX	A	X	6.53	30	20	0	50	50
2014	G09LAX	A	X	15.81	90	10	0	0	100
2014	G09LAX	A	X	19.53	50	50	0	0	100
2014	G09RAN	A	N	67.34	5	90	0	5	95
2014	G09RAN	A	N	27.32	90	10	0	0	100
2014	G09RAN	A	N	16.38	90	0	0	10	90
2014	G09RAN	A	N	15.8	85	5	0	10	90
2014	G10LAX	A	X	9.5	60	10	0	30	70
2014	G10LAX	A	X	7.06	10	10	20	60	20
2014	G10LAX	A	X	12.31	5	80	5	10	85
2014	G10LAX	A	X	15.76	5	80	5	10	85
2014	G10RAN	A	N	5.22	10	20	60	10	30
2014	G10RAN	A	N	14.78	10	60	15	15	70
